Timestamp,Name,Age,Gender,How often do you use the Orange Line Train?, What is your primary reason for using the Orange Line Train?,How punctual is the train service in your experience?,How do you rate the efficiency of the queue management system at ticket counters?,"How clean are the train stations, including the platforms and waiting areas?",How do you rate the cleanliness and maintenance of rest-rooms for passenger use? ,How often are the train stations and carriages cleaned and maintained?,How comfortable are the seats in the train carriages for extended journeys?,"Are the train stations and carriages accessible for people with disabilities (e.g., ramps, elevators)?","Is the temperature inside the train carriages comfortable, with appropriate cooling or heating systems?",Do you feel safe while traveling on the Orange Line Metro Train?,Have you ever witnessed or experienced any unsafe situations on the Orange Line Metro Train?,"Are there sufficient security measures, such as guards, CCTV cameras, and emergency response systems, in place?",How helpful and attentive are the staff members in assisting passengers with their needs?,Are real-time updates about train schedules and delays provided effectively?,Are there sufficient banners and information posters/screens inside station's premises?,Are the ticket prices reasonable and affordable for the majority of passengers?,Are there any special discounts or deals available for frequent riders or certain passenger groups?,How satisfied are you with the overall service quality of the Orange Line Metro Train?,How likely are you to recommend the Orange Line Metro Train to others?
2024/12/24 11:36:24 PM GMT+5,Muhammad Mujtaba ,<20,Male,Everday,Study,1,2,1,5,1,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,Yes,1,1
2024/12/25 12:07:30 AM GMT+5,Dure Sameen,21-30,Female,Once or twice a year,Leisure,1,1,1,2,1,1,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,Don't know,1,1
2024/12/25 12:10:52 AM GMT+5,Nimra Saleem ,<20,Female,Everday,Study,1,3,1,3,2,2,Yes,No,Yes,5,Maybe,3,No,Don't know,Yes,No,1,1
2024/12/25 12:11:46 AM GMT+5,Danial,<20,Male,Everday,Study,1,3,1,2,1,1,Don't know,Yes,Yes,5,Yes,2,Yes,Don't know,Yes,No,1,1
2024/12/25 7:47:12 AM GMT+5,Taha,<20,Male,Once or twice a week,Study,1,4,2,3,2,4,Yes,Yes,Yes,5,Yes,2,Don't know,Yes,Yes,No,2,2
2024/12/25 7:50:06 AM GMT+5,Taha ,<20,Male,Once or twice a week,To go for a coding competition ,1,5,3,3,2,5,Yes,Yes,Yes,2,No,3,No,Yes,Yes,No,3,3
2024/12/25 10:05:40 AM GMT+5,Aila ,<20,Female,Once or twice a month,Study,3,4,4,3,4,4,Yes,Yes,Yes,1,Yes,3,Yes,Yes,Yes,Don't know,4,4
2024/12/25 10:12:06 AM GMT+5,Rimsha ,<20,Female,Once or twice a year,Entertainment ,3,3,2,3,3,2,Don't know,No,Yes,2,Maybe,3,Don't know,Yes,Yes,Don't know,3,4
2024/12/25 10:21:35 AM GMT+5,Malik Sahib,21-30,Male,Everday,Study,1,3,1,2,1,5,Yes,Yes,Yes,1,Maybe,2,Yes,Yes,Don't know,No,2,1
2024/12/25 10:44:48 AM GMT+5,Shah Saim ,<20,Male,Once or twice a week,Study,1,1,2,3,2,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
